work_id,created_date,team,workstream,priority,status,estimated_hours,actual_hours,capacity_hours,due_date,closed_date
SMP-1,2026-03-14,Assessment Ops,Documentation,Low,Open,4.5,3.3,303.5,2026-03-28,
SMP-2,2026-03-21,Review Team,Support Ticket,High,Resolved,15.3,2.0,319.0,2026-04-01,
SMP-3,2026-05-04,Content QA,Support Ticket,Low,Resolved,9.0,13.1,294.1,2026-05-09,
SMP-4,2026-06-09,Content QA,Quality Check,High,Closed,19.5,0.6,400.7,2026-06-20,
SMP-5,2025-12-25,Learner Support,Support Ticket,Medium,In Progress,3.0,2.7,310.3,2025-12-30,
SMP-6,2026-01-14,Content QA,Quality Check,Medium,In Progress,3.3,2.5,343.4,2026-01-18,
SMP-7,2026-05-16,Learner Support,Documentation,Medium,Open,5.8,7.0,336.6,2026-05-27,
SMP-8,2026-06-08,Review Team,Support Ticket,High,Resolved,0.4,19.5,352.4,2026-06-18,
SMP-9,2026-02-02,Review Team,Support Ticket,Low,In Progress,1.9,12.7,316.6,2026-02-12,
SMP-10,2026-02-13,Assessment Ops,Support Ticket,Low,Closed,7.7,3.8,284.6,2026-02-27,
SMP-11,2026-05-25,Review Team,Documentation,High,In Progress,8.9,18.6,387.4,2026-06-06,
SMP-12,2026-03-05,Learner Support,Quality Check,Medium,Open,0.8,11.7,327.3,2026-03-11,
SMP-13,2026-02-06,Learner Support,Support Ticket,Medium,In Progress,1.0,8.0,334.1,2026-02-17,
SMP-14,2026-05-17,Assessment Ops,Documentation,Critical,Closed,9.4,16.6,337.0,2026-05-27,
SMP-15,2026-02-03,Review Team,Support Ticket,Medium,Open,15.6,9.0,374.2,2026-02-13,
SMP-16,2026-03-03,Content QA,Support Ticket,High,Open,1.6,4.7,356.9,2026-03-17,
SMP-17,2026-04-14,Review Team,Documentation,Critical,Open,8.7,15.0,371.1,2026-04-19,
SMP-18,2026-03-28,Assessment Ops,Documentation,High,Closed,4.9,5.3,358.8,2026-04-05,
SMP-19,2026-01-03,Assessment Ops,Quality Check,High,Resolved,11.2,3.2,335.4,2026-01-13,
SMP-20,2025-12-23,Review Team,Review,High,Resolved,3.5,3.8,338.9,2026-01-05,
SMP-21,2026-05-24,Learner Support,Quality Check,High,In Progress,1.5,2.8,304.0,2026-06-02,
SMP-22,2026-05-04,Content QA,Support Ticket,Medium,Closed,15.9,2.4,262.2,2026-05-17,
SMP-23,2026-05-19,Review Team,Documentation,Medium,Open,12.2,1.8,321.7,2026-05-25,
SMP-24,2026-03-26,Review Team,Quality Check,High,In Progress,2.7,14.9,292.5,2026-03-30,
SMP-25,2026-05-15,Assessment Ops,Quality Check,High,Open,5.2,3.0,420.6,2026-05-20,
SMP-26,2026-02-16,Learner Support,Quality Check,High,In Progress,2.4,3.1,384.6,2026-02-23,
SMP-27,2026-03-10,Review Team,Support Ticket,High,In Progress,1.1,3.3,371.0,2026-03-24,
SMP-28,2026-05-10,Learner Support,Support Ticket,Low,Closed,6.6,13.0,310.8,2026-05-16,
SMP-29,2026-01-10,Learner Support,Quality Check,Medium,Resolved,0.7,12.4,402.1,2026-01-16,
SMP-30,2026-02-11,Learner Support,Support Ticket,Medium,Open,4.9,6.3,270.4,2026-02-24,
SMP-31,2026-01-10,Learner Support,Documentation,High,Open,5.3,5.0,287.8,2026-01-15,
SMP-32,2026-03-11,Content QA,Documentation,Medium,Open,7.2,5.0,302.7,2026-03-21,
SMP-33,2026-06-13,Assessment Ops,Support Ticket,Medium,Resolved,9.5,9.6,296.5,2026-06-25,
SMP-34,2026-01-12,Content QA,Quality Check,Low,Closed,4.8,12.3,334.7,2026-01-17,
SMP-35,2026-02-26,Learner Support,Review,Medium,Open,2.5,1.5,336.8,2026-03-07,
SMP-36,2026-03-01,Review Team,Quality Check,High,Closed,3.3,12.3,396.9,2026-03-09,
SMP-37,2026-05-31,Review Team,Review,Low,Closed,8.7,10.6,365.0,2026-06-12,
SMP-38,2026-01-24,Assessment Ops,Review,Low,Open,16.2,3.4,372.8,2026-01-30,
SMP-39,2026-03-19,Assessment Ops,Review,Medium,Open,9.4,4.0,344.7,2026-03-24,
SMP-40,2026-02-04,Review Team,Review,Medium,Closed,2.5,6.3,324.9,2026-02-18,
SMP-41,2025-12-22,Learner Support,Documentation,Medium,Closed,9.0,4.4,306.0,2025-12-28,
SMP-42,2026-05-03,Review Team,Review,High,In Progress,5.1,3.9,277.2,2026-05-16,
SMP-43,2025-12-30,Review Team,Documentation,Low,Open,4.1,0.2,299.6,2026-01-03,
SMP-44,2026-02-07,Content QA,Review,Medium,Closed,1.7,13.2,316.7,2026-02-20,
SMP-45,2026-03-19,Review Team,Quality Check,High,Resolved,1.5,3.9,356.8,2026-03-26,
SMP-46,2026-03-16,Learner Support,Documentation,High,Closed,9.2,1.7,271.0,2026-03-21,
SMP-47,2026-01-09,Learner Support,Review,High,Open,8.0,1.5,282.2,2026-01-17,
SMP-48,2026-06-14,Content QA,Review,Low,Open,2.6,7.0,337.7,2026-06-22,
SMP-49,2026-05-03,Content QA,Support Ticket,High,Resolved,9.2,7.8,293.3,2026-05-11,
SMP-50,2026-06-11,Content QA,Support Ticket,Medium,Open,10.5,7.5,341.8,2026-06-19,
SMP-51,2026-01-04,Learner Support,Support Ticket,Medium,In Progress,4.1,4.3,315.6,2026-01-09,
SMP-52,2026-04-29,Learner Support,Review,Low,In Progress,2.0,2.1,303.7,2026-05-06,
SMP-53,2026-02-10,Assessment Ops,Review,Low,Closed,9.7,3.8,283.4,2026-02-17,
SMP-54,2026-03-26,Assessment Ops,Quality Check,High,Closed,3.7,2.1,326.8,2026-04-08,
SMP-55,2026-06-04,Assessment Ops,Review,Low,In Progress,3.7,23.4,304.5,2026-06-16,
SMP-56,2026-02-07,Content QA,Review,Medium,Closed,0.3,2.9,308.6,2026-02-16,
SMP-57,2026-04-29,Learner Support,Support Ticket,Medium,Closed,3.6,8.5,307.7,2026-05-05,
SMP-58,2026-01-17,Review Team,Review,High,In Progress,5.8,8.2,336.6,2026-01-29,
SMP-59,2026-02-15,Review Team,Review,Medium,Closed,4.9,4.0,335.2,2026-02-19,
SMP-60,2026-06-12,Content QA,Review,Low,Closed,15.0,3.7,270.0,2026-06-22,
SMP-61,2026-03-05,Learner Support,Support Ticket,Medium,Resolved,3.9,5.4,324.4,2026-03-16,
SMP-62,2026-03-22,Learner Support,Support Ticket,Medium,In Progress,2.3,7.4,344.0,2026-03-30,
SMP-63,2026-02-10,Review Team,Documentation,High,Open,1.2,6.8,366.4,2026-02-17,
